Data;Vendedor;Produto;Valor Unitario;Quantidade Vendida;Faturamento;Lucro;Forma de Pagamento;Imagem Vendedor;
17/04/2020;Alon Pinheiro - 14037281763;Celular;R$ 300;5;R$ 1.500;R$ 400;Cartão de Crédito;https://drive.google.com/uc?id=1hS-x3gdmCLEuufzeII2P18UyZKi16uyy;
17/04/2020;Alon Pinheiro - 14037281763;Tablet;R$ 500;6;R$ 3.000;R$ 1.700;Cartão de Crédito;https://drive.google.com/uc?id=1hS-x3gdmCLEuufzeII2P18UyZKi16uyy;
17/04/2020;Alon Pinheiro - 14037281763;Notebook;R$ 700;2;R$ 1.400;R$ 400;Cartão de Crédito;https://drive.google.com/uc?id=1hS-x3gdmCLEuufzeII2P18UyZKi16uyy;
17/04/2020;Diego Amorim - 13201937281;Celular;R$ 300;3;R$ 900;R$ 400;Cartão de Crédito;https://drive.google.com/uc?id=1nJbgKElFt2p14dQDrMJQzauAAuQsRxH8;
17/04/2020;Diego Amorim - 13201937281;Tablet;R$ 500;3;R$ 1.500;R$ 300;Cartão de Crédito;https://drive.google.com/uc?id=1nJbgKElFt2p14dQDrMJQzauAAuQsRxH8;
17/04/2020;Diego Amorim - 13201937281;Notebook;R$ 700;5;R$ 3.500;R$ 1.800;Boleto;https://drive.google.com/uc?id=1nJbgKElFt2p14dQDrMJQzauAAuQsRxH8;
17/04/2020;João Lira - 17278283926;Celular;R$ 300;1;R$ 300;R$ 200;Cartão de Crédito;https://drive.google.com/uc?id=1Zd0DYxpYWogG8sLmXknY-62TIcanIbLy;
17/04/2020;João Lira - 17278283926;Tablet;R$ 500;6;R$ 3.000;R$ 1.400;Cartão de Crédito;https://drive.google.com/uc?id=1Zd0DYxpYWogG8sLmXknY-62TIcanIbLy;
17/04/2020;João Lira - 17278283926;Notebook;R$ 700;4;R$ 2.800;R$ 900;Cartão de Crédito;https://drive.google.com/uc?id=1Zd0DYxpYWogG8sLmXknY-62TIcanIbLy;
17/04/2020;João Martins - 16337283762;Celular;R$ 300;2;R$ 600;R$ 100;Boleto;https://drive.google.com/uc?id=1jlS2yawFeq45nr3MxcevJ6VNA-lh8AB8;
17/04/2020;João Martins - 16337283762;Tablet;R$ 500;8;R$ 4.000;R$ 2.400;Cartão de Crédito;https://drive.google.com/uc?id=1jlS2yawFeq45nr3MxcevJ6VNA-lh8AB8;
17/04/2020;João Lira - 17278283926;Notebook;R$ 700;2;R$ 1.400;R$ 400;Boleto;https://drive.google.com/uc?id=1Zd0DYxpYWogG8sLmXknY-62TIcanIbLy;
17/04/2020;Alon Pinheiro - 14037281763;Celular;R$ 300;5;R$ 1.500;R$ 500;Cartão de Crédito;https://drive.google.com/uc?id=1hS-x3gdmCLEuufzeII2P18UyZKi16uyy;
17/04/2020;Alon Pinheiro - 14037281763;Tablet;R$ 500;2;R$ 1.000;R$ 500;Cartão de Crédito;https://drive.google.com/uc?id=1hS-x3gdmCLEuufzeII2P18UyZKi16uyy;
17/04/2020;Alon Pinheiro - 14037281763;Notebook;R$ 700;0;R$ 0;R$ 0;Cartão de Crédito;https://drive.google.com/uc?id=1hS-x3gdmCLEuufzeII2P18UyZKi16uyy;
17/04/2020;Diego Amorim - 13201937281;Celular;R$ 300;5;R$ 1.500;R$ 900;Cartão de Crédito;https://drive.google.com/uc?id=1nJbgKElFt2p14dQDrMJQzauAAuQsRxH8;
17/04/2020;Diego Amorim - 13201937281;Tablet;R$ 500;6;R$ 3.000;R$ 600;Cartão de Crédito;https://drive.google.com/uc?id=1nJbgKElFt2p14dQDrMJQzauAAuQsRxH8;
17/04/2020;Diego Amorim - 13201937281;Notebook;R$ 700;5;R$ 3.500;R$ 1.400;Boleto;https://drive.google.com/uc?id=1nJbgKElFt2p14dQDrMJQzauAAuQsRxH8;
17/04/2020;João Lira - 17278283926;Celular;R$ 300;5;R$ 1.500;R$ 400;Cartão de Crédito;https://drive.google.com/uc?id=1Zd0DYxpYWogG8sLmXknY-62TIcanIbLy;
17/04/2020;João Lira - 17278283926;Tablet;R$ 500;9;R$ 4.500;R$ 1.300;Cartão de Crédito;https://drive.google.com/uc?id=1Zd0DYxpYWogG8sLmXknY-62TIcanIbLy;
17/04/2020;João Lira - 17278283926;Notebook;R$ 700;4;R$ 2.800;R$ 900;Boleto;https://drive.google.com/uc?id=1Zd0DYxpYWogG8sLmXknY-62TIcanIbLy;
17/04/2020;João Martins - 16337283762;Celular;R$ 300;2;R$ 600;R$ 300;Boleto;https://drive.google.com/uc?id=1jlS2yawFeq45nr3MxcevJ6VNA-lh8AB8;
17/04/2020;João Martins - 16337283762;Tablet;R$ 500;2;R$ 1.000;R$ 500;Cartão de Crédito;https://drive.google.com/uc?id=1jlS2yawFeq45nr3MxcevJ6VNA-lh8AB8;
17/04/2020;João Lira - 17278283926;Notebook;R$ 700;4;R$ 2.800;R$ 1.400;Cartão de Crédito;https://drive.google.com/uc?id=1Zd0DYxpYWogG8sLmXknY-62TIcanIbLy;
17/04/2020;Alon Pinheiro - 14037281763;Celular;R$ 300;4;R$ 1.200;R$ 500;Cartão de Crédito;https://drive.google.com/uc?id=1hS-x3gdmCLEuufzeII2P18UyZKi16uyy;
17/04/2020;Alon Pinheiro - 14037281763;Tablet;R$ 500;1;R$ 500;R$ 100;Cartão de Crédito;https://drive.google.com/uc?id=1hS-x3gdmCLEuufzeII2P18UyZKi16uyy;
17/04/2020;Alon Pinheiro - 14037281763;Notebook;R$ 700;5;R$ 3.500;R$ 2.100;Cartão de Crédito;https://drive.google.com/uc?id=1hS-x3gdmCLEuufzeII2P18UyZKi16uyy;
17/04/2020;Diego Amorim - 13201937281;Celular;R$ 300;0;R$ 0;R$ 0;Cartão de Crédito;https://drive.google.com/uc?id=1nJbgKElFt2p14dQDrMJQzauAAuQsRxH8;
17/04/2020;Diego Amorim - 13201937281;Tablet;R$ 500;0;R$ 0;R$ 0;Cartão de Crédito;https://drive.google.com/uc?id=1nJbgKElFt2p14dQDrMJQzauAAuQsRxH8;
17/04/2020;Diego Amorim - 13201937281;Notebook;R$ 700;2;R$ 1.400;R$ 800;Cartão de Crédito;https://drive.google.com/uc?id=1nJbgKElFt2p14dQDrMJQzauAAuQsRxH8;
17/04/2020;João Lira - 17278283926;Celular;R$ 300;2;R$ 600;R$ 300;Boleto;https://drive.google.com/uc?id=1Zd0DYxpYWogG8sLmXknY-62TIcanIbLy;
17/04/2020;João Lira - 17278283926;Tablet;R$ 500;2;R$ 1.000;R$ 200;Cartão de Crédito;https://drive.google.com/uc?id=1Zd0DYxpYWogG8sLmXknY-62TIcanIbLy;
17/04/2020;João Lira - 17278283926;Notebook;R$ 700;0;R$ 0;R$ 0;Boleto;https://drive.google.com/uc?id=1Zd0DYxpYWogG8sLmXknY-62TIcanIbLy;
17/04/2020;João Lira - 17278283926;Celular;R$ 300;3;R$ 900;R$ 300;Cartão de Crédito;https://drive.google.com/uc?id=1Zd0DYxpYWogG8sLmXknY-62TIcanIbLy;
17/04/2020;João Lira - 17278283926;Tablet;R$ 500;1;R$ 500;R$ 300;Cartão de Crédito;https://drive.google.com/uc?id=1Zd0DYxpYWogG8sLmXknY-62TIcanIbLy;
17/04/2020;João Lira - 17278283926;Notebook;R$ 700;2;R$ 1.400;R$ 900;Cartão de Crédito;https://drive.google.com/uc?id=1Zd0DYxpYWogG8sLmXknY-62TIcanIbLy;
18/04/2020;Alon Pinheiro - 14037281763;Celular;R$ 300;1;R$ 300;R$ 100;Cartão de Crédito;https://drive.google.com/uc?id=1hS-x3gdmCLEuufzeII2P18UyZKi16uyy;
18/04/2020;Alon Pinheiro - 14037281763;Tablet;R$ 500;1;R$ 500;R$ 200;Cartão de Crédito;https://drive.google.com/uc?id=1hS-x3gdmCLEuufzeII2P18UyZKi16uyy;
18/04/2020;Alon Pinheiro - 14037281763;Notebook;R$ 700;1;R$ 700;R$ 400;Cartão de Crédito;https://drive.google.com/uc?id=1hS-x3gdmCLEuufzeII2P18UyZKi16uyy;
18/04/2020;Diego Amorim - 13201937281;Celular;R$ 300;3;R$ 900;R$ 300;Cartão de Crédito;https://drive.google.com/uc?id=1nJbgKElFt2p14dQDrMJQzauAAuQsRxH8;
18/04/2020;Diego Amorim - 13201937281;Tablet;R$ 500;3;R$ 1.500;R$ 1.000;Cartão de Crédito;https://drive.google.com/uc?id=1nJbgKElFt2p14dQDrMJQzauAAuQsRxH8;
18/04/2020;Diego Amorim - 13201937281;Notebook;R$ 700;2;R$ 1.400;R$ 600;Boleto;https://drive.google.com/uc?id=1nJbgKElFt2p14dQDrMJQzauAAuQsRxH8;
18/04/2020;João Lira - 17278283926;Celular;R$ 300;2;R$ 600;R$ 300;Cartão de Crédito;https://drive.google.com/uc?id=1Zd0DYxpYWogG8sLmXknY-62TIcanIbLy;
18/04/2020;João Lira - 17278283926;Tablet;R$ 500;6;R$ 3.000;R$ 1.400;Boleto;https://drive.google.com/uc?id=1Zd0DYxpYWogG8sLmXknY-62TIcanIbLy;
18/04/2020;João Lira - 17278283926;Notebook;R$ 700;3;R$ 2.100;R$ 600;Cartão de Crédito;https://drive.google.com/uc?id=1Zd0DYxpYWogG8sLmXknY-62TIcanIbLy;
18/04/2020;João Lira - 17278283926;Celular;R$ 300;8;R$ 2.400;R$ 500;Boleto;https://drive.google.com/uc?id=1Zd0DYxpYWogG8sLmXknY-62TIcanIbLy;
18/04/2020;João Lira - 17278283926;Tablet;R$ 500;8;R$ 4.000;R$ 1.200;Boleto;https://drive.google.com/uc?id=1Zd0DYxpYWogG8sLmXknY-62TIcanIbLy;
18/04/2020;João Martins - 16337283762;Notebook;R$ 700;9;R$ 6.300;R$ 4.100;Cartão de Crédito;https://drive.google.com/uc?id=1jlS2yawFeq45nr3MxcevJ6VNA-lh8AB8;
18/04/2020;Alon Pinheiro - 14037281763;Celular;R$ 300;0;R$ 0;R$ 0;Boleto;https://drive.google.com/uc?id=1hS-x3gdmCLEuufzeII2P18UyZKi16uyy;
18/04/2020;Alon Pinheiro - 14037281763;Tablet;R$ 500;1;R$ 500;R$ 100;Cartão de Crédito;https://drive.google.com/uc?id=1hS-x3gdmCLEuufzeII2P18UyZKi16uyy;
18/04/2020;Alon Pinheiro - 14037281763;Notebook;R$ 700;3;R$ 2.100;R$ 900;Cartão de Crédito;https://drive.google.com/uc?id=1hS-x3gdmCLEuufzeII2P18UyZKi16uyy;
18/04/2020;Diego Amorim - 13201937281;Celular;R$ 300;6;R$ 1.800;R$ 1.000;Cartão de Crédito;https://drive.google.com/uc?id=1nJbgKElFt2p14dQDrMJQzauAAuQsRxH8;
18/04/2020;Diego Amorim - 13201937281;Tablet;R$ 500;0;R$ 0;R$ 0;Boleto;https://drive.google.com/uc?id=1nJbgKElFt2p14dQDrMJQzauAAuQsRxH8;
18/04/2020;Diego Amorim - 13201937281;Notebook;R$ 700;2;R$ 1.400;R$ 600;Cartão de Crédito;https://drive.google.com/uc?id=1nJbgKElFt2p14dQDrMJQzauAAuQsRxH8;
18/04/2020;João Lira - 17278283926;Celular;R$ 300;7;R$ 2.100;R$ 1.300;Cartão de Crédito;https://drive.google.com/uc?id=1Zd0DYxpYWogG8sLmXknY-62TIcanIbLy;
18/04/2020;João Lira - 17278283926;Tablet;R$ 500;3;R$ 1.500;R$ 700;Cartão de Crédito;https://drive.google.com/uc?id=1Zd0DYxpYWogG8sLmXknY-62TIcanIbLy;
18/04/2020;João Lira - 17278283926;Notebook;R$ 700;2;R$ 1.400;R$ 700;Cartão de Crédito;https://drive.google.com/uc?id=1Zd0DYxpYWogG8sLmXknY-62TIcanIbLy;
18/04/2020;João Martins - 16337283762;Celular;R$ 300;1;R$ 300;R$ 100;Cartão de Crédito;https://drive.google.com/uc?id=1jlS2yawFeq45nr3MxcevJ6VNA-lh8AB8;
18/04/2020;João Martins - 16337283762;Tablet;R$ 500;1;R$ 500;R$ 300;Cartão de Crédito;https://drive.google.com/uc?id=1jlS2yawFeq45nr3MxcevJ6VNA-lh8AB8;
18/04/2020;João Martins - 16337283762;Notebook;R$ 700;2;R$ 1.400;R$ 300;Boleto;https://drive.google.com/uc?id=1jlS2yawFeq45nr3MxcevJ6VNA-lh8AB8;
18/04/2020;Alon Pinheiro - 14037281763;Celular;R$ 300;6;R$ 1.800;R$ 800;Cartão de Crédito;https://drive.google.com/uc?id=1hS-x3gdmCLEuufzeII2P18UyZKi16uyy;
18/04/2020;Alon Pinheiro - 14037281763;Tablet;R$ 500;6;R$ 3.000;R$ 700;Cartão de Crédito;https://drive.google.com/uc?id=1hS-x3gdmCLEuufzeII2P18UyZKi16uyy;
18/04/2020;Alon Pinheiro - 14037281763;Notebook;R$ 700;4;R$ 2.800;R$ 1.000;Cartão de Crédito;https://drive.google.com/uc?id=1hS-x3gdmCLEuufzeII2P18UyZKi16uyy;
18/04/2020;Diego Amorim - 13201937281;Celular;R$ 300;1;R$ 300;R$ 200;Cartão de Crédito;https://drive.google.com/uc?id=1nJbgKElFt2p14dQDrMJQzauAAuQsRxH8;
18/04/2020;Diego Amorim - 13201937281;Tablet;R$ 500;2;R$ 1.000;R$ 600;Cartão de Crédito;https://drive.google.com/uc?id=1nJbgKElFt2p14dQDrMJQzauAAuQsRxH8;
18/04/2020;Diego Amorim - 13201937281;Notebook;R$ 700;1;R$ 700;R$ 400;Cartão de Crédito;https://drive.google.com/uc?id=1nJbgKElFt2p14dQDrMJQzauAAuQsRxH8;
18/04/2020;João Lira - 17278283926;Celular;R$ 300;2;R$ 600;R$ 400;Boleto;https://drive.google.com/uc?id=1Zd0DYxpYWogG8sLmXknY-62TIcanIbLy;
18/04/2020;João Lira - 17278283926;Tablet;R$ 500;4;R$ 2.000;R$ 800;Boleto;https://drive.google.com/uc?id=1Zd0DYxpYWogG8sLmXknY-62TIcanIbLy;
18/04/2020;João Lira - 17278283926;Notebook;R$ 700;2;R$ 1.400;R$ 500;Boleto;https://drive.google.com/uc?id=1Zd0DYxpYWogG8sLmXknY-62TIcanIbLy;
18/04/2020;João Lira - 17278283926;Celular;R$ 300;1;R$ 300;R$ 100;Cartão de Crédito;https://drive.google.com/uc?id=1Zd0DYxpYWogG8sLmXknY-62TIcanIbLy;
18/04/2020;João Lira - 17278283926;Tablet;R$ 500;2;R$ 1.000;R$ 400;Cartão de Crédito;https://drive.google.com/uc?id=1Zd0DYxpYWogG8sLmXknY-62TIcanIbLy;
18/04/2020;João Martins - 16337283762;Notebook;R$ 700;3;R$ 2.100;R$ 1.100;Boleto;https://drive.google.com/uc?id=1jlS2yawFeq45nr3MxcevJ6VNA-lh8AB8;
19/04/2020;Alon Pinheiro - 14037281763;Celular;R$ 300;1;R$ 300;R$ 100;Cartão de Crédito;https://drive.google.com/uc?id=1hS-x3gdmCLEuufzeII2P18UyZKi16uyy;
19/04/2020;Alon Pinheiro - 14037281763;Tablet;R$ 500;0;R$ 0;R$ 0;Cartão de Crédito;https://drive.google.com/uc?id=1hS-x3gdmCLEuufzeII2P18UyZKi16uyy;
19/04/2020;Alon Pinheiro - 14037281763;Notebook;R$ 700;3;R$ 2.100;R$ 1.100;Cartão de Crédito;https://drive.google.com/uc?id=1hS-x3gdmCLEuufzeII2P18UyZKi16uyy;
19/04/2020;Diego Amorim - 13201937281;Celular;R$ 300;6;R$ 1.800;R$ 800;Cartão de Crédito;https://drive.google.com/uc?id=1nJbgKElFt2p14dQDrMJQzauAAuQsRxH8;
19/04/2020;Diego Amorim - 13201937281;Tablet;R$ 500;6;R$ 3.000;R$ 900;Cartão de Crédito;https://drive.google.com/uc?id=1nJbgKElFt2p14dQDrMJQzauAAuQsRxH8;
19/04/2020;Diego Amorim - 13201937281;Notebook;R$ 700;4;R$ 2.800;R$ 800;Cartão de Crédito;https://drive.google.com/uc?id=1nJbgKElFt2p14dQDrMJQzauAAuQsRxH8;
19/04/2020;João Lira - 17278283926;Celular;R$ 300;3;R$ 900;R$ 400;Boleto;https://drive.google.com/uc?id=1Zd0DYxpYWogG8sLmXknY-62TIcanIbLy;
19/04/2020;João Lira - 17278283926;Tablet;R$ 500;1;R$ 500;R$ 300;Cartão de Crédito;https://drive.google.com/uc?id=1Zd0DYxpYWogG8sLmXknY-62TIcanIbLy;
19/04/2020;João Lira - 17278283926;Notebook;R$ 700;7;R$ 4.900;R$ 2.700;Cartão de Crédito;https://drive.google.com/uc?id=1Zd0DYxpYWogG8sLmXknY-62TIcanIbLy;
19/04/2020;João Martins - 16337283762;Celular;R$ 300;0;R$ 0;R$ 0;Boleto;https://drive.google.com/uc?id=1jlS2yawFeq45nr3MxcevJ6VNA-lh8AB8;
19/04/2020;João Martins - 16337283762;Tablet;R$ 500;9;R$ 4.500;R$ 1.500;Boleto;https://drive.google.com/uc?id=1jlS2yawFeq45nr3MxcevJ6VNA-lh8AB8;
19/04/2020;João Lira - 17278283926;Notebook;R$ 700;3;R$ 2.100;R$ 1.200;Cartão de Crédito;https://drive.google.com/uc?id=1Zd0DYxpYWogG8sLmXknY-62TIcanIbLy;
19/04/2020;Alon Pinheiro - 14037281763;Celular;R$ 300;6;R$ 1.800;R$ 700;Cartão de Crédito;https://drive.google.com/uc?id=1hS-x3gdmCLEuufzeII2P18UyZKi16uyy;
19/04/2020;Alon Pinheiro - 14037281763;Tablet;R$ 500;0;R$ 0;R$ 0;Cartão de Crédito;https://drive.google.com/uc?id=1hS-x3gdmCLEuufzeII2P18UyZKi16uyy;
19/04/2020;Alon Pinheiro - 14037281763;Notebook;R$ 700;0;R$ 0;R$ 0;Cartão de Crédito;https://drive.google.com/uc?id=1hS-x3gdmCLEuufzeII2P18UyZKi16uyy;
19/04/2020;Diego Amorim - 13201937281;Celular;R$ 300;7;R$ 2.100;R$ 1.200;Cartão de Crédito;https://drive.google.com/uc?id=1nJbgKElFt2p14dQDrMJQzauAAuQsRxH8;
19/04/2020;Diego Amorim - 13201937281;Tablet;R$ 500;8;R$ 4.000;R$ 1.200;Cartão de Crédito;https://drive.google.com/uc?id=1nJbgKElFt2p14dQDrMJQzauAAuQsRxH8;
19/04/2020;Diego Amorim - 13201937281;Notebook;R$ 700;6;R$ 4.200;R$ 1.600;Boleto;https://drive.google.com/uc?id=1nJbgKElFt2p14dQDrMJQzauAAuQsRxH8;
19/04/2020;João Lira - 17278283926;Celular;R$ 300;2;R$ 600;R$ 300;Cartão de Crédito;https://drive.google.com/uc?id=1Zd0DYxpYWogG8sLmXknY-62TIcanIbLy;
19/04/2020;João Lira - 17278283926;Tablet;R$ 500;3;R$ 1.500;R$ 500;Boleto;https://drive.google.com/uc?id=1Zd0DYxpYWogG8sLmXknY-62TIcanIbLy;
19/04/2020;João Lira - 17278283926;Notebook;R$ 700;4;R$ 2.800;R$ 1.400;Cartão de Crédito;https://drive.google.com/uc?id=1Zd0DYxpYWogG8sLmXknY-62TIcanIbLy;
19/04/2020;João Martins - 16337283762;Celular;R$ 300;2;R$ 600;R$ 300;Cartão de Crédito;https://drive.google.com/uc?id=1jlS2yawFeq45nr3MxcevJ6VNA-lh8AB8;
19/04/2020;João Martins - 16337283762;Tablet;R$ 500;3;R$ 1.500;R$ 300;Cartão de Crédito;https://drive.google.com/uc?id=1jlS2yawFeq45nr3MxcevJ6VNA-lh8AB8;
19/04/2020;João Martins - 16337283762;Notebook;R$ 700;4;R$ 2.800;R$ 600;Cartão de Crédito;https://drive.google.com/uc?id=1jlS2yawFeq45nr3MxcevJ6VNA-lh8AB8;
19/04/2020;Alon Pinheiro - 14037281763;Celular;R$ 300;2;R$ 600;R$ 400;Cartão de Crédito;https://drive.google.com/uc?id=1hS-x3gdmCLEuufzeII2P18UyZKi16uyy;
19/04/2020;Alon Pinheiro - 14037281763;Tablet;R$ 500;2;R$ 1.000;R$ 400;Cartão de Crédito;https://drive.google.com/uc?id=1hS-x3gdmCLEuufzeII2P18UyZKi16uyy;
19/04/2020;Alon Pinheiro - 14037281763;Notebook;R$ 700;1;R$ 700;R$ 500;Cartão de Crédito;https://drive.google.com/uc?id=1hS-x3gdmCLEuufzeII2P18UyZKi16uyy;
19/04/2020;Diego Amorim - 13201937281;Celular;R$ 300;1;R$ 300;R$ 100;Boleto;https://drive.google.com/uc?id=1nJbgKElFt2p14dQDrMJQzauAAuQsRxH8;
19/04/2020;Diego Amorim - 13201937281;Tablet;R$ 500;2;R$ 1.000;R$ 300;Cartão de Crédito;https://drive.google.com/uc?id=1nJbgKElFt2p14dQDrMJQzauAAuQsRxH8;
19/04/2020;Diego Amorim - 13201937281;Notebook;R$ 700;0;R$ 0;R$ 0;Cartão de Crédito;https://drive.google.com/uc?id=1nJbgKElFt2p14dQDrMJQzauAAuQsRxH8;
19/04/2020;João Lira - 17278283926;Celular;R$ 300;3;R$ 900;R$ 500;Cartão de Crédito;https://drive.google.com/uc?id=1Zd0DYxpYWogG8sLmXknY-62TIcanIbLy;
19/04/2020;João Lira - 17278283926;Tablet;R$ 500;2;R$ 1.000;R$ 200;Cartão de Crédito;https://drive.google.com/uc?id=1Zd0DYxpYWogG8sLmXknY-62TIcanIbLy;
19/04/2020;João Lira - 17278283926;Notebook;R$ 700;2;R$ 1.400;R$ 300;Boleto;https://drive.google.com/uc?id=1Zd0DYxpYWogG8sLmXknY-62TIcanIbLy;
19/04/2020;João Lira - 17278283926;Celular;R$ 300;1;R$ 300;R$ 200;Cartão de Crédito;https://drive.google.com/uc?id=1Zd0DYxpYWogG8sLmXknY-62TIcanIbLy;
19/04/2020;João Lira - 17278283926;Tablet;R$ 500;1;R$ 500;R$ 300;Cartão de Crédito;https://drive.google.com/uc?id=1Zd0DYxpYWogG8sLmXknY-62TIcanIbLy;
19/04/2020;João Martins - 16337283762;Notebook;R$ 700;3;R$ 2.100;R$ 1.200;Cartão de Crédito;https://drive.google.com/uc?id=1jlS2yawFeq45nr3MxcevJ6VNA-lh8AB8;
20/04/2020;Alon Pinheiro - 14037281763;Celular;R$ 300;1;R$ 300;R$ 100;Boleto;https://drive.google.com/uc?id=1hS-x3gdmCLEuufzeII2P18UyZKi16uyy;
20/04/2020;Alon Pinheiro - 14037281763;Tablet;R$ 500;0;R$ 0;R$ 0;Cartão de Crédito;https://drive.google.com/uc?id=1hS-x3gdmCLEuufzeII2P18UyZKi16uyy;
20/04/2020;Alon Pinheiro - 14037281763;Notebook;R$ 700;2;R$ 1.400;R$ 500;Cartão de Crédito;https://drive.google.com/uc?id=1hS-x3gdmCLEuufzeII2P18UyZKi16uyy;
20/04/2020;Diego Amorim - 13201937281;Celular;R$ 300;7;R$ 2.100;R$ 700;Cartão de Crédito;https://drive.google.com/uc?id=1nJbgKElFt2p14dQDrMJQzauAAuQsRxH8;
20/04/2020;Diego Amorim - 13201937281;Tablet;R$ 500;5;R$ 2.500;R$ 800;Boleto;https://drive.google.com/uc?id=1nJbgKElFt2p14dQDrMJQzauAAuQsRxH8;
20/04/2020;Diego Amorim - 13201937281;Notebook;R$ 700;6;R$ 4.200;R$ 1.600;Cartão de Crédito;https://drive.google.com/uc?id=1nJbgKElFt2p14dQDrMJQzauAAuQsRxH8;
20/04/2020;João Lira - 17278283926;Celular;R$ 300;1;R$ 300;R$ 100;Cartão de Crédito;https://drive.google.com/uc?id=1Zd0DYxpYWogG8sLmXknY-62TIcanIbLy;
20/04/2020;João Lira - 17278283926;Tablet;R$ 500;4;R$ 2.000;R$ 400;Cartão de Crédito;https://drive.google.com/uc?id=1Zd0DYxpYWogG8sLmXknY-62TIcanIbLy;
20/04/2020;João Lira - 17278283926;Notebook;R$ 700;5;R$ 3.500;R$ 2.200;Cartão de Crédito;https://drive.google.com/uc?id=1Zd0DYxpYWogG8sLmXknY-62TIcanIbLy;
20/04/2020;João Lira - 17278283926;Celular;R$ 300;8;R$ 2.400;R$ 1.000;Cartão de Crédito;https://drive.google.com/uc?id=1Zd0DYxpYWogG8sLmXknY-62TIcanIbLy;
20/04/2020;João Lira - 17278283926;Tablet;R$ 500;6;R$ 3.000;R$ 1.000;Cartão de Crédito;https://drive.google.com/uc?id=1Zd0DYxpYWogG8sLmXknY-62TIcanIbLy;
20/04/2020;João Lira - 17278283926;Notebook;R$ 700;9;R$ 6.300;R$ 2.500;Cartão de Crédito;https://drive.google.com/uc?id=1Zd0DYxpYWogG8sLmXknY-62TIcanIbLy;
20/04/2020;Alon Pinheiro - 14037281763;Celular;R$ 300;2;R$ 600;R$ 100;Cartão de Crédito;https://drive.google.com/uc?id=1hS-x3gdmCLEuufzeII2P18UyZKi16uyy;
20/04/2020;Alon Pinheiro - 14037281763;Tablet;R$ 500;4;R$ 2.000;R$ 700;Boleto;https://drive.google.com/uc?id=1hS-x3gdmCLEuufzeII2P18UyZKi16uyy;
20/04/2020;Alon Pinheiro - 14037281763;Notebook;R$ 700;5;R$ 3.500;R$ 1.800;Cartão de Crédito;https://drive.google.com/uc?id=1hS-x3gdmCLEuufzeII2P18UyZKi16uyy;
20/04/2020;Diego Amorim - 13201937281;Celular;R$ 300;7;R$ 2.100;R$ 1.100;Cartão de Crédito;https://drive.google.com/uc?id=1nJbgKElFt2p14dQDrMJQzauAAuQsRxH8;
20/04/2020;Diego Amorim - 13201937281;Tablet;R$ 500;6;R$ 3.000;R$ 1.900;Cartão de Crédito;https://drive.google.com/uc?id=1nJbgKElFt2p14dQDrMJQzauAAuQsRxH8;
20/04/2020;Diego Amorim - 13201937281;Notebook;R$ 700;3;R$ 2.100;R$ 500;Cartão de Crédito;https://drive.google.com/uc?id=1nJbgKElFt2p14dQDrMJQzauAAuQsRxH8;
20/04/2020;João Lira - 17278283926;Celular;R$ 300;6;R$ 1.800;R$ 600;Boleto;https://drive.google.com/uc?id=1Zd0DYxpYWogG8sLmXknY-62TIcanIbLy;
20/04/2020;João Lira - 17278283926;Tablet;R$ 500;9;R$ 4.500;R$ 1.700;Cartão de Crédito;https://drive.google.com/uc?id=1Zd0DYxpYWogG8sLmXknY-62TIcanIbLy;
20/04/2020;João Lira - 17278283926;Notebook;R$ 700;9;R$ 6.300;R$ 2.300;Cartão de Crédito;https://drive.google.com/uc?id=1Zd0DYxpYWogG8sLmXknY-62TIcanIbLy;
20/04/2020;João Martins - 16337283762;Celular;R$ 300;2;R$ 600;R$ 400;Cartão de Crédito;https://drive.google.com/uc?id=1jlS2yawFeq45nr3MxcevJ6VNA-lh8AB8;
20/04/2020;João Lira - 17278283926;Tablet;R$ 500;2;R$ 1.000;R$ 200;Cartão de Crédito;https://drive.google.com/uc?id=1Zd0DYxpYWogG8sLmXknY-62TIcanIbLy;
20/04/2020;João Lira - 17278283926;Notebook;R$ 700;2;R$ 1.400;R$ 600;Cartão de Crédito;https://drive.google.com/uc?id=1Zd0DYxpYWogG8sLmXknY-62TIcanIbLy;
20/04/2020;Alon Pinheiro - 14037281763;Celular;R$ 300;3;R$ 900;R$ 400;Cartão de Crédito;https://drive.google.com/uc?id=1hS-x3gdmCLEuufzeII2P18UyZKi16uyy;
20/04/2020;Alon Pinheiro - 14037281763;Tablet;R$ 500;5;R$ 2.500;R$ 1.400;Cartão de Crédito;https://drive.google.com/uc?id=1hS-x3gdmCLEuufzeII2P18UyZKi16uyy;
20/04/2020;Alon Pinheiro - 14037281763;Notebook;R$ 700;1;R$ 700;R$ 300;Cartão de Crédito;https://drive.google.com/uc?id=1hS-x3gdmCLEuufzeII2P18UyZKi16uyy;
20/04/2020;Diego Amorim - 13201937281;Celular;R$ 300;1;R$ 300;R$ 100;Cartão de Crédito;https://drive.google.com/uc?id=1nJbgKElFt2p14dQDrMJQzauAAuQsRxH8;
20/04/2020;Diego Amorim - 13201937281;Tablet;R$ 500;2;R$ 1.000;R$ 300;Cartão de Crédito;https://drive.google.com/uc?id=1nJbgKElFt2p14dQDrMJQzauAAuQsRxH8;
